[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 50200 | Actions: [12, 5, 5, 5, 11, 11, 2, 2, 11, 11, 12, 5, 2, 11, 12, 2, 2, 4, 4, 4]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
[TEST DEBUG] Env_t: 100200 | Actions: [2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 2, 2, 2, 7, 2]
